index,question,gold,response,f1,precision,recall,rl
30,"which film was released more recently, Bajo Otro Sol or Riding The California Trail?",Bajo Otro Sol,Bajo Otro Sol,1.0,1.0,1.0,1.0
31,when is Henrietta Maria Of Brandenburg-Schwedt's father's birthday?,"May 19, 1669",1669,0.5,1.0,0.3333333333333333,0.5
32,"which film was released more recently, Dance With A Stranger or Miley Naa Miley Hum?",Miley Naa Miley Hum,Miley Naa Miley Hum,1.0,1.0,1.0,1.0
33,"which film was released first, Vacations In Majorca or Dr. Socrates?",Dr. Socrates,Dr. Socrates,1.0,1.0,1.0,1.0
34,"who is younger, Peter Rosegger or Ruel Redinger?",Ruel Redinger,Ruel Redinger,1.0,1.0,1.0,1.0
35,who is the spouse of the performer of song This Time (Waylon Jennings Song)?,Jessi Colter,Jessi Colter,1.0,1.0,1.0,1.0
36,are Twin Cairns Island and Nova Zembla Island located in the same country?,yes,yes,1.0,1.0,1.0,1.0
37,"who died first, Erich Haenisch or William Pooley?",William Pooley,William Pooley,1.0,1.0,1.0,1.0
38,"which film has the director who died later, The Great Man'S Lady or La Belle Américaine?",La Belle Américaine,The Great Man's Lady,0,0,0,0.0
39,where was the place of death of Shahnawaz Bhutto's mother?,Iranian hospital Dubai,iranian hospital dubai,1.0,1.0,1.0,1.0
40,where was the performer of song Égérie (Song) born?,France,"The performer of the song ""Égérie"" is Nekfeu, and the provided passage",0,0,0,0.0
41,who is the father-in-law of Duke William Of Mecklenburg-Schwerin?,Prince Albert of Prussia,Frederick William III of Prussia,0.4444444444444445,0.4,0.5,0.4444444444444445
42,"who is Sir William Gore, 3Rd Baronet's paternal grandfather?","Sir Paul Gore, 1st Baronet","Sir Paul Gore, 1st Baronet",1.0,1.0,1.0,1.0
43,which country Nizar Al-Mustafa's father is from?,Egypt,Nizar Al-Mustafa's father is from Egypt.,0.2857142857142857,0.16666666666666666,1.0,0.2222222222222222
44,"which film came out earlier, The Drover'S Sweetheart or Pigsty (Film)?",The Drover'S Sweetheart,The Drover's Sweetheart,1.0,1.0,1.0,1.0
45,"which film came out earlier, Closely Watched Trains or Det Sande Ansigt?",Det Sande Ansigt,Closely Watched Trains,0,0,0,0.0
46,are both directors of films La Morte Vivante and Stranger On Horseback from the same country?,yes,yes,1.0,1.0,1.0,1.0
47,which country Keōpūolani's husband is from?,Hawaii,Hawaii,1.0,1.0,1.0,1.0
48,"which film came out earlier, X-Paroni or Mi Novia Está De Madre?",X-Paroni,X-Paroni,1.0,1.0,1.0,1.0
49,"which film was released earlier, August Underground'S Penance or Vasantha Raagam?",Vasantha Raagam,Vasantha Raagam,1.0,1.0,1.0,1.0
50,who is the father-in-law of Hong Ra-Hee?,Lee Byung-chul,Lee Byung-chul,1.0,1.0,1.0,1.0
51,who is Isabella Of Bourbon's paternal grandfather?,"John I, Duke of Bourbon","Peter I, Duke of Bourbon",0.8000000000000002,0.8,0.8,0.8000000000000002
52,what is the date of death of Duleep Singh's father?,1839,1839,1.0,1.0,1.0,1.0
53,"who is the spouse of the performer of song Et Moi, Et Moi, Et Moi?",francoise hardy,Francoise Hardy,1.0,1.0,1.0,1.0
54,"who lived longer, Charles Wheatstone or Jean-Claude Lauzon?",Charles Wheatstone,Charles Wheatstone,1.0,1.0,1.0,1.0
55,where was the place of death of Thomas E. Noell's father?,"Washington, D. C.","Washington, D. C.",1.0,1.0,1.0,1.0
56,who is the paternal grandfather of Diego Fernández De Oviedo?,fernan blazquez de caceres,Fernando Alfon de Ovando,0.25,0.25,0.25,0.25
57,"which country Dorothea Of Denmark, Duchess Of Mecklenburg's father is from?",Denmark,Denmark,1.0,1.0,1.0,1.0
58,where did Mary Of Woodstock's mother die?,Harby,Mary of Woodstock's mother died in Lincoln.,0,0,0,0.0
59,"which film was released earlier, Moment Of Danger or The Ballad Of Josie?",Moment Of Danger,Moment of Danger,1.0,1.0,1.0,1.0
60,"which film has the director who died first, The Piper'S Price or The Blonde From Singapore?",The Piper'S Price,The Piper's Price,1.0,1.0,1.0,1.0
61,what is the place of birth of the director of film Ninamaninja Kalpadukal?,Methala,Kerala,0,0,0,0.0
62,"which film came out earlier, Alkohol or Night Of Dark Shadows?",Alkohol,Alkohol,1.0,1.0,1.0,1.0
63,"which film whose director is younger, Many Tanks Mr. Atkins or Do Musafir?",Do Musafir,Many Tanks Mr. Atkins,0,0,0,0.0
64,"which film came out first, F The Prom or The Comedians Of Comedy?",The Comedians Of Comedy,The Comedians,0.5,1.0,0.3333333333333333,0.6666666666666666
65,"which film has the director who was born first, Tombstone Rashomon or Waiting For The Clouds?",Waiting For The Clouds,Tombstone Rashomon,0,0,0,0.0
66,"which film has the director who was born first, Perdón, Viejita or Smokey And The Bandit?","Perdón, Viejita","Perdón, Viejita",1.0,1.0,1.0,1.0
67,where did the director of film American Gothic (2007 Film) graduate from?,University of Wisconsin-Madison,University of Wisconsin - Madison,0.5714285714285715,0.5,0.6666666666666666,1.0
68,"which magazine was established first, Women'S Suffrage Journal or Mostar (Magazine)?",Women'S Suffrage Journal,Women's Suffrage Journal,1.0,1.0,1.0,1.0
69,"which film has the director who died earlier, Mayor Muthanna or The Market Of Souls?",The Market Of Souls,The Market Of Souls,1.0,1.0,1.0,1.0
70,"do both films, The Glass Castle (1950 Film) and The Ferret (Film), have the directors who are from the same country?",yes,yes,1.0,1.0,1.0,1.0
71,"which film has the director who was born later, The Man Is Armed or Wolf Warrior?",Wolf Warrior,Wolf Warrior,1.0,1.0,1.0,1.0
72,where was the performer of song Feelin' Myself (Nipsey Hussle Song) born?,Crenshaw,Los Angeles,0,0,0,0.0
73,"which film whose director is younger, Winter Sleepers or Poveri Milionari?",Winter Sleepers,Winter Sleepers,1.0,1.0,1.0,1.0
74,who is the paternal grandfather of Bruno Ii Von Berg?,Adolf II of Berg-Hovel,Adolf III of Berg is the paternal grandfather of Bruno II of Berg.,0.375,0.25,0.75,0.4444444444444444
75,are The Other Half (2016 Film) and Spy Kids 2: The Island Of Lost Dreams from the same country?,no,no,1.0,1.0,1.0,1.0
76,"which film came out first, Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato or The Bag Man?",Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato,Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello,0.962962962962963,1.0,0.9285714285714286,0.962962962962963
77,who is the paternal grandfather of Dibyasambandh?,Mongkut,King Mongkut of Siam,0.4,0.25,1.0,0.4
78,"who is Charles Willoughby, 10Th Baron Willoughby Of Parham's paternal grandmother?",Lady Frances Manners,katherine skipwith,0,0,0,0.0
79,what is the place of birth of Sextus Barbour's father?,"orange county, virginia","Orange County, Virginia",1.0,1.0,1.0,1.0
80,what is the place of birth of the performer of song Ruleta (Inna Song)?,"Mangalia, Romania","Mangalia, Romania.",1.0,1.0,1.0,1.0
81,"who is Henri Ii, Duke Of Nemours's paternal grandfather?",jacques de savoie,"Philippe, Duke of Nemours",0,0,0,0.0
82,who is Gisela Of Hungary's father-in-law?,"Géza, Grand Prince of the Hungarians","Joseph August, Archduke of Austria",0.20000000000000004,0.2,0.2,0.16666666666666666
83,who is the paternal grandmother of King Kang Of Zhou?,Queen Yi Jiang,Queen Yi Jiang,1.0,1.0,1.0,1.0
84,who is the spouse of the director of film Rodney Steps In?,Ivy Duke and Dorothy Batley,Richard Cooper,0,0,0,0.0
85,"when did Frances Vane, Marchioness Of Londonderry's father die?",1 August 1813,1813,0.5,1.0,0.3333333333333333,0.5
86,were Jake Eisenhart and Michael T. Ullman of the same nationality?,yes,no,0,0,0,0.0
87,"who was born first, Antoine Casavant or Abdul Ali Lalu?",Antoine Casavant,Antoine Casavant,1.0,1.0,1.0,1.0
88,where did Rameshwari Nehru's husband graduate from?,Oxford University,Oxford University,1.0,1.0,1.0,1.0
89,"who is the paternal grandfather of Sir John Hamilton-Dalrymple, 5Th Baronet?","Sir Hew Dalrymple, 2nd Baronet","Sir Hew Dalrymple, 3rd Baronet",0.8000000000000002,0.8,0.8,0.8000000000000002
90,"where did Catherine Of Taranto, Countess Of Copertino's mother die?",Lecce,plague,0,0,0,0.0
91,which award the director of film Lady Magdalene'S got?,Best Cutting Edge Film,special jury prize for libertarian ideals at the 2011 anthem film festival / freedomfest,0.125,0.08333333333333333,0.25,0.11764705882352941
92,what nationality is Princess Charlotte Of Saxe-Meiningen's husband?,German,"Princess Charlotte of Saxe-Meiningen's husband was Ernest, Duke of Saxe-G",0,0,0,0.0
93,what is the place of birth of Aleksey Greig's father?,Inverkeithing,"inverkeithing, fife, scotland",0.5,0.3333333333333333,1.0,0.5
94,when did Thomas Of Galloway (Bastard)'s father die?,1234,1234,1.0,1.0,1.0,1.0
95,"when did Robert Bertie, 3Rd Earl Of Lindsey's father die?",1666,25 July 1666,0.5,0.3333333333333333,1.0,0.5
96,does Leslie Pietrzyk have the same nationality as Marianne Wiggins?,yes,no,0,0,0,0.0
97,are both Howard Lake (British Columbia) and North Buck Lake (Alberta) located in the same country?,yes,yes,1.0,1.0,1.0,1.0
98,where was the place of death of the composer of song Gretchen Am Spinnrade?,Vienna,"sunrise assisted - living facility in pacific palisades, california",0,0,0,0.0
99,"who was born later, Hugh Evelyn Wortham or Johnny Ekström?",Johnny Ekström,Johnny Ekström,1.0,1.0,1.0,1.0
100,"are both mountains, Yana Urqu (Q'Umirqucha) and Puka Rumi, located in the same country?",yes,yes,1.0,1.0,1.0,1.0
101,what nationality is Elizabeth Of Rhuddlan's father?,English,English,1.0,1.0,1.0,1.0
102,"who is Maurice De Berkeley, 4Th Baron Berkeley's maternal grandfather?","Roger Mortimer, 1st Earl of March",Piers de Geneville,0,0,0,0.0
,,,,0.6385660998406096,0.6439919557566617,0.6644957983193277,0.6438433741490258
