index,question,gold,response,f1,precision,recall,rl
17,"which film came out earlier, Indradhanura Chhai or The Death Of Black King?",The Death Of Black King,The Death Of Black King,1.0,1.0,1.0,1.0
18,do both films The Reincarnation Of Golden Lotus and I'Ll Get By (Film) have the directors from the same country?,No answer,No answer,1.0,1.0,1.0,1.0
19,"are both villages, Rhosgoch and Qaleh-Ye Sahar, located in the same country?",no,"No

(Note: Rhosgoch is in the United Kingdom, and Qaleh-Y",0.19999999999999998,0.1111111111111111,1.0,0.16666666666666669
20,where was the director of film Kanneshwara Rama born?,No answer,No answer,1.0,1.0,1.0,1.0
21,where was the place of death of Randi Monsen's father?,No answer,The user wants to know the place of death of Randi Monsen's father. Let me look at,0,0,0,0.0
22,where did the performer of song I'Ll Say It graduate from?,No answer,Carnegie Mellon University,0,0,0,0.0
23,"which film has the director who was born first, Hell Up In Harlem or The Soviet Story?",Hell Up In Harlem,Hell Up In Harlem,1.0,1.0,1.0,1.0
24,"who was born first, Cipriano Castro or Damir Nikšić?",Cipriano Castro,No answer,0,0,0,0.0
25,"which film has the director who died first, The Year Of The Rabbit or Monster On The Campus?",Monster On The Campus,Monster On The Campus,1.0,1.0,1.0,1.0
26,"who is younger, Guy Arvely Dolsin or Altuğ Çelikbilek?",Altuğ Çelikbilek,Altuğ Çelikbilek is younger. Guy Arvely Dolsin was born on,0.33333333333333337,0.2,1.0,0.33333333333333337
27,"which song came out first, Joel The Lump Of Coal or Jugband Blues?",Jugband Blues,"The user wants me to answer which song came out first: ""Joel The Lump Of Coal""",0,0,0,0.0
28,are both Open Mobile and Primestar located in the same country?,yes,"The user wants me to answer whether both Open Mobile and Primestar are located in the same country,",0,0,0,0.0
29,who is the paternal grandfather of Baldwin I Rátót?,No answer,Rathold Rátót,0,0,0,0.0
30,what is the place of birth of Ratna Malla's father?,No answer,No answer,1.0,1.0,1.0,1.0
31,"who is Archibald Acheson, 4Th Earl Of Gosford's paternal grandfather?","Archibald Acheson, 2nd Earl of Gosford","Arthur Acheson, 1st Earl of Gosford",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
32,who is the paternal grandfather of Mark Getty?,Jean Paul Getty,John Paul Getty Jr.,0.5714285714285715,0.5,0.6666666666666666,0.5714285714285715
33,where did the performer of song Fantasy (George Michael Song) die?,"Goring-on-Thames, Oxfordshire","goring - on - thames, oxfordshire",0.3333333333333333,0.25,0.5,1.0
34,do director of film Betrayal (1932 Film) and director of film The Godsend (Film) share the same nationality?,No answer,No answer,1.0,1.0,1.0,1.0
35,"which film whose director was born first, The Abduction Club or Wooden Crosses?",Wooden Crosses,Wooden Crosses,1.0,1.0,1.0,1.0
36,"which film came out earlier, Above Rubies or The Magic Aster?",Above Rubies,Above Rubies,1.0,1.0,1.0,1.0
37,"which film has the director who is older than the other, Blue Blood And Red or The Longshot? ?",No answer,"Blue Blood And Red

The Longshot was directed by Paul Bartel, who was born in ",0,0,0,0.0
38,what is the place of birth of the director of film Clowning Around?,"Castlemaine, Victoria, Australia","Castlemaine, Victoria, Australia",1.0,1.0,1.0,1.0
39,"who was born later, Paul De Scherff or Lyudmyla Olyanovska?",No answer,The user is asking who was born later between Paul De Scherff and Lyudmyla O,0,0,0,0.0
40,where was the place of death of Kamures Kadın's husband?,Constantinople,"Yıldız Palace, Istanbul",0,0,0,0.0
41,what is the place of birth of Bernard (Son Of Charles The Fat)'s father?,No answer,The user is asking for the place of birth of Bernard (Son Of Charles The Fat)'s father,0,0,0,0.0
42,"which film has the director who died first, Tex And The Lord Of The Deep or Henry Goes Arizona?",Henry Goes Arizona,Henry Goes Arizona,1.0,1.0,1.0,1.0
43,which country the performer of song I Believe In Your Sweet Love is from?,United Kingdom,United Kingdom,1.0,1.0,1.0,1.0
44,"which film whose producer was born first, All-American Co-Ed or Lagu Kenangan?",No answer,Lagu Kenangan,0,0,0,0.0
45,what is the place of birth of the director of film A Chrysanthemum Bursts In Cincoesquinas?,No answer,"buenos aires, argentina",0,0,0,0.0
46,who is the mother-in-law of Louise Of Mecklenburg-Güstrow?,No answer,Sophie of Pomerania,0,0,0,0.0
47,where was the place of death of Agnes Of Hohenstaufen's husband?,No answer,Bavaria,0,0,0,0.0
48,who is Marcus Annius Libo's aunt?,Vibia Sabina,No answer,0,0,0,0.0
49,"which film was released more recently, Bajo Otro Sol or Riding The California Trail?",Bajo Otro Sol,Bajo Otro Sol,1.0,1.0,1.0,1.0
50,who is the mother of the director of film Dalida (2017 Film)?,No answer,Lisa Azuelos,0,0,0,0.0
51,who is the spouse of the director of film Streets Of Blood?,No answer,"I need to find information about the director of the film ""Streets of Blood"" and their",0,0,0,0.0
52,when is Henrietta Maria Of Brandenburg-Schwedt's father's birthday?,"May 19, 1669",No answer,0,0,0,0.0
53,"where was the place of death of Sancha Of Castile, Queen Of Navarre's mother?",No answer,"Sancha of Castile, Queen of Navarre's mother was Sancha of Cast",0,0,0,0.0
54,"which film was released more recently, Dance With A Stranger or Miley Naa Miley Hum?",Miley Naa Miley Hum,Miley Naa Miley Hum,1.0,1.0,1.0,1.0
55,"which film has the director who is older, Space Probe Taurus or Tom Mix In Arabia?",No answer,I need to find information about Space Probe Taurus and Tom Mix in Arabia to compare the directors',0,0,0,0.0
56,"which film has the director died later, Seven In The Sun or Daughter Of The Jungle?",No answer,Daughter Of The Jungle,0,0,0,0.0
57,"which film was released first, Vacations In Majorca or Dr. Socrates?",Dr. Socrates,"I need to find information about when ""Vacations In Majorca"" and ""Dr. Socrates",0.2666666666666667,0.15384615384615385,1.0,0.2666666666666667
58,"which film has the director born later, Woman In The Moon or Changeland?",No answer,Changeland,0,0,0,0.0
59,"who is younger, Peter Rosegger or Ruel Redinger?",Ruel Redinger,Ruel Redinger is younger. Peter Rosegger was born in 1843 (implied,0.3076923076923077,0.18181818181818182,1.0,0.3076923076923077
60,who is Pyotr Karatygin's sibling-in-law?,No answer,Vasily Karatygin,0,0,0,0.0
61,who is the spouse of the performer of song This Time (Waylon Jennings Song)?,Jessi Colter,Jessi Colter,1.0,1.0,1.0,1.0
62,are Twin Cairns Island and Nova Zembla Island located in the same country?,yes,Yes,1.0,1.0,1.0,1.0
63,"who died first, Erich Haenisch or William Pooley?",William Pooley,"The user wants to know who died first: Erich Haenisch or William Pooley.

",0.2857142857142857,0.16666666666666666,1.0,0.2666666666666667
64,what nationality is the performer of song You Can?,No answer,"The user wants to know the nationality of the performer of the song ""You Can"".

Looking at the",0,0,0,0.0
65,do Nick Varner and Carl Duser share the same nationality?,No answer,No answer,1.0,1.0,1.0,1.0
66,"which film has the director who died earlier, Melody Of The World or Ladies Love Danger?",No answer,Melody Of The World,0,0,0,0.0
67,where was the place of death of the composer of film Miracle Of Marcelino?,No answer,No answer,1.0,1.0,1.0,1.0
68,who is the mother of the director of film Atomised (Film)?,No answer,No answer,1.0,1.0,1.0,1.0
69,"which film has the director who died later, The Great Man'S Lady or La Belle Américaine?",La Belle Américaine,La Belle Américaine,1.0,1.0,1.0,1.0
70,what is the place of birth of the director of film Sweepstakes (Film)?,No answer,No answer,1.0,1.0,1.0,1.0
71,where was the place of death of Shahnawaz Bhutto's mother?,Dubai,No answer,0,0,0,0.0
72,where was the performer of song Égérie (Song) born?,La Trinité,No answer,0,0,0,0.0
73,who is the father-in-law of Duke William Of Mecklenburg-Schwerin?,Prince Albert of Prussia,"Paul Frederick, Grand Duke of Mecklenburg-Schwerin",0.2,0.16666666666666666,0.25,0.18181818181818182
74,are Gut (Crișul Alb) and Gepiș both located in the same country?,No answer,No answer,1.0,1.0,1.0,1.0
75,where was the place of death of Anne Devereux's husband?,No answer,No answer,1.0,1.0,1.0,1.0
76,"who is Sir William Gore, 3Rd Baronet's paternal grandfather?","Sir Paul Gore, 1st Baronet","Sir Paul Gore, 1st Baronet",1.0,1.0,1.0,1.0
77,which country Nizar Al-Mustafa's father is from?,Fatimid caliphate,Egypt,0,0,0,0.0
78,where was the wife of Lou Breslow born?,No answer,No answer,1.0,1.0,1.0,1.0
79,who is the spouse of the director of film Ann Carver'S Profession?,No answer,"The user wants to know the spouse of the director of the film ""Ann Carver's Profession"".",0,0,0,0.0
80,"which film came out earlier, The Drover'S Sweetheart or Pigsty (Film)?",The Drover'S Sweetheart,The Drover's Sweetheart came out in 1911. Pigsty (Film) came out,0.33333333333333337,0.2,1.0,0.5
81,what is the place of birth of the director of film Bhagirathi (Film)?,No answer,No answer,1.0,1.0,1.0,1.0
82,"which film came out earlier, Closely Watched Trains or Det Sande Ansigt?",Det Sande Ansigt,Det Sande Ansigt,1.0,1.0,1.0,1.0
83,"which film has the director who died earlier, Il Gaucho or Bomgay?",No answer,"The user is asking which film has a director who died earlier: ""Il Gaucho"" or """,0,0,0,0.0
84,where was the place of death of Maria (Wife Of Boris I Of Bulgaria)'s husband?,No answer,"I need to find information about Maria (Wife of Boris I of Bulgaria)'s husband, which",0,0,0,0.0
85,"which film came out first, The Pyrammmid or Revolt Of The Praetorians?",No answer,No answer,1.0,1.0,1.0,1.0
86,are both directors of films La Morte Vivante and Stranger On Horseback from the same country?,yes,Yes,1.0,1.0,1.0,1.0
87,what is the cause of death of Constantia Eriksdotter's father?,No answer,No answer,1.0,1.0,1.0,1.0
88,what nationality is the director of film Postmortem (1998 Film)?,No answer,"The user wants to know the nationality of the director of the film ""Postmortem (199",0,0,0,0.0
89,which country Keōpūolani's husband is from?,Kingdom of Hawaii,The user wants to know which country Keōpūolani's husband is from. Let me,0,0,0,0.0
90,"which film came out earlier, X-Paroni or Mi Novia Está De Madre?",X-Paroni,X-Paroni,1.0,1.0,1.0,1.0
91,"which film was released earlier, August Underground'S Penance or Vasantha Raagam?",Vasantha Raagam,Vasantha Raagam,1.0,1.0,1.0,1.0
92,who is the father-in-law of Hong Ra-Hee?,Lee Byung-chul,Lee Kun-Hee,0.5,0.5,0.5,0.3333333333333333
93,who is Isabella Of Bourbon's paternal grandfather?,"John I, Duke of Bourbon","Peter I, Duke of Bourbon",0.8000000000000002,0.8,0.8,0.8000000000000002
94,what is the date of death of Duleep Singh's father?,27 June 1839,23 October 1893,0,0,0,0.0
95,what is the place of birth of the director of film Gunsmoke (Film)?,No answer,No answer,1.0,1.0,1.0,1.0
96,"who is the spouse of the performer of song Et Moi, Et Moi, Et Moi?",Françoise Hardy,Françoise Hardy,1.0,1.0,1.0,1.0
97,"who lived longer, Charles Wheatstone or Jean-Claude Lauzon?",Charles Wheatstone,"Charles Wheatstone lived longer.

Charles Wheatstone was born in 1802 and died in 187",0.25,0.14285714285714285,1.0,0.25
98,where was the place of death of Thomas E. Noell's father?,Washington,"Washington, D. C.",0.5,0.3333333333333333,1.0,0.5
99,"which film has the director died first, Our Agent Tiger or London Melody?",No answer,London Melody,0,0,0,0.0
100,who is the paternal grandfather of Diego Fernández De Oviedo?,Flaín Muñoz,Diego Fernández De Oviedo's paternal grandfather was Diego Fernández De Cáceres,0,0,0,0.0
101,who is the child of the director of film The Trouble With Cali?,No answer,No answer,1.0,1.0,1.0,1.0
102,are Ding Yaping and Johann Christian Gustav Lucae of the same nationality?,No answer,No answer,1.0,1.0,1.0,1.0
103,"which country Dorothea Of Denmark, Duchess Of Mecklenburg's father is from?",Norway,Denmark,0,0,0,0.0
104,what is the cause of death of Heonjong Of Goryeo's father?,No answer,No answer,1.0,1.0,1.0,1.0
105,where did Mary Of Woodstock's mother die?,Harby,No answer,0,0,0,0.0
106,which award the director of film Tiramisu (2002 Film) earned?,No answer,No answer,1.0,1.0,1.0,1.0
107,what is the date of death of the director of film Nallavan Vazhvan?,No answer,No answer,1.0,1.0,1.0,1.0
108,"who died first, Frederick Cleveland Morgan or Nathaniel Mclenaghan?",No answer,No answer,1.0,1.0,1.0,1.0
109,where did the director of film Balls Out (2014 Film) graduate from?,No answer,university of texas,0,0,0,0.0
110,"which film whose director is younger, Cuchillos De Fuego or A Woman Has Killed?",No answer,No answer,1.0,1.0,1.0,1.0
111,"which film was released earlier, Moment Of Danger or The Ballad Of Josie?",Moment Of Danger,Moment Of Danger,1.0,1.0,1.0,1.0
112,"which magazine was established first, Rock Street Journal or De As?",No answer,No answer,1.0,1.0,1.0,1.0
113,"which film has the director who died first, The Piper'S Price or The Blonde From Singapore?",The Piper'S Price,No answer,0,0,0,0.0
114,are H. H. Hunnewell and Bob Flanigan (Singer) of the same nationality?,No answer,No answer,1.0,1.0,1.0,1.0
115,"when was Antoine Philippe, Duke Of Montpensier's mother born?",No answer,1753,0,0,0,0.0
116,"which film has the director who died later, True To The Navy or No Trees In The Street?",No answer,No Trees In The Street,0.3333333333333333,0.25,0.5,0.28571428571428575
117,what is the place of birth of the director of film Ninamaninja Kalpadukal?,Methala,"N. N. Pisharody was born in Methala, near Perumbavoor in",0.18181818181818182,0.1,1.0,0.18181818181818182
118,"which film came out earlier, Alkohol or Night Of Dark Shadows?",Alkohol,"The user wants to know which film came out earlier: ""Alkohol"" or ""Night",0.15384615384615385,0.08333333333333333,1.0,0.14285714285714288
119,"which film whose director is younger, Many Tanks Mr. Atkins or Do Musafir?",Do Musafir,Do Musafir,1.0,1.0,1.0,1.0
120,are Revolt In The Big House and The Fugitive (1914 Film) from the same country?,No answer,No,0.6666666666666666,1.0,0.5,0.6666666666666666
121,where was the composer of film Consenting Adults (1992 Film) born?,No answer,No answer,1.0,1.0,1.0,1.0
122,"which film has the director who died earlier, Tiger In The Smoke or Contragolpe?",No answer,"I need to find information about the directors of ""Tiger In The Smoke"" and ""Contragolpe",0,0,0,0.0
123,where was the place of death of the director of film Jail Yatra?,No answer,"Pune, Maharashtra, India",0,0,0,0.0
124,"which film came out first, F The Prom or The Comedians Of Comedy?",The Comedians Of Comedy,No answer,0,0,0,0.0
125,"which film has the director who was born first, Tombstone Rashomon or Waiting For The Clouds?",Tombstone Rashomon,Tombstone Rashomon,1.0,1.0,1.0,1.0
126,"which film has the director who was born earlier, Dhuen Ki Lakeer or Bomma Borusa?",No answer,No answer,1.0,1.0,1.0,1.0
127,"which film has the director who was born first, Perdón, Viejita or Smokey And The Bandit?","Perdón, Viejita","Perdón, Viejita",1.0,1.0,1.0,1.0
128,where did the director of film American Gothic (2007 Film) graduate from?,University of Wisconsin,"The user is asking where the director of the film ""American Gothic (2007 Film)"" graduated from",0.125,0.07692307692307693,0.3333333333333333,0.10526315789473684
129,was Dudley Russell or Juan René Serrano born first?,No answer,No answer,1.0,1.0,1.0,1.0
130,"who was born first, Vytautas Straižys or Mirjam Polkunen?",No answer,Vytautas Straižys,0,0,0,0.0
131,where did Grand Duchess Elena Vladimirovna Of Russia's father die?,No answer,"The user is asking: ""where did Grand Duchess Elena Vladimirovna Of Russia's father",0,0,0,0.0
132,where was the director of film The Dinner (2013 Film) born?,No answer,No answer,1.0,1.0,1.0,1.0
133,"which magazine was established first, Women'S Suffrage Journal or Mostar (Magazine)?",Women'S Suffrage Journal,Women's Suffrage Journal,1.0,1.0,1.0,1.0
134,what is the place of birth of Carrie Watson Fleming's husband?,No answer,"Fairmont, West Virginia",0,0,0,0.0
135,"which film has the director who died earlier, Mayor Muthanna or The Market Of Souls?",The Market Of Souls,The Market Of Souls,1.0,1.0,1.0,1.0
136,"do both films, The Glass Castle (1950 Film) and The Ferret (Film), have the directors who are from the same country?",yes,Yes,1.0,1.0,1.0,1.0
137,where was the father of Muhammad Al-Nasir born?,No answer,"The user wants to know where the father of Muhammad Al-Nasir was born.

Looking at the",0,0,0,0.0
138,where was the place of death of Enheduanna's father?,No answer,No answer,1.0,1.0,1.0,1.0
139,"which film whose director was born first, Solemn Promise or Tarzan The Magnificent?",No answer,Solemn Promise,0,0,0,0.0
140,"which film has the director who was born later, The Man Is Armed or Wolf Warrior?",Wolf Warrior,Wolf Warrior,1.0,1.0,1.0,1.0
141,who is the paternal grandfather of Trịnh Doanh?,No answer,The user is asking for the paternal grandfather of Trịnh Doanh. I need to look,0,0,0,0.0
142,where was the director of film Hellcats Of The Navy born?,No answer,Austria-Hungary,0,0,0,0.0
143,where was the performer of song Feelin' Myself (Nipsey Hussle Song) born?,Crenshaw,Crenshaw district of South Central Los Angeles,0.25,0.14285714285714285,1.0,0.25
144,"which film whose director is younger, Winter Sleepers or Poveri Milionari?",Winter Sleepers,I need to determine which film's director is younger between Winter Sleepers and Poveri Milion,0.23529411764705882,0.13333333333333333,1.0,0.2222222222222222
145,who is the paternal grandfather of Bruno Ii Von Berg?,Adolf II of Berg,"The user wants to know who the paternal grandfather of Bruno II von Berg is.

 First, I",0.31578947368421056,0.2,0.75,0.19047619047619047
146,are The Other Half (2016 Film) and Spy Kids 2: The Island Of Lost Dreams from the same country?,no,"The user is asking if ""The Other Half (2016 Film)"" and ""Spy Kids 2",0,0,0,0.0
147,where was the director of film 00 Schneider – Jagd Auf Nihil Baxter born?,No answer,No answer,1.0,1.0,1.0,1.0
148,"which film came out first, Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato or The Bag Man?",Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato,Una prostituta al servizio del pubblico e in regola con le leggi del,0.888888888888889,0.9230769230769231,0.8571428571428571,0.888888888888889
149,"are the movies The Hatton Garden Job and Carry On Cleo, from the same country?",No answer,Yes,0,0,0,0.0
150,who is the paternal grandfather of Dibyasambandh?,Mongkut,No answer,0,0,0,0.0
151,"who is Charles Willoughby, 10Th Baron Willoughby Of Parham's paternal grandmother?",Lady Frances Manners,Anne Carey,0,0,0,0.0
152,"where does the director of film L'Arbre, Le Maire Et La Médiathèque work at?",No answer,No answer,1.0,1.0,1.0,1.0
153,where was the director of film Eisenstein In Guanajuato born?,No answer,"The user is asking about the birthplace of the director of the film ""Eisenstein in Guan",0,0,0,0.0
154,what is the place of birth of Sextus Barbour's father?,"Gordonsville, Virginia","Orange County, Virginia",0.4,0.3333333333333333,0.5,0.4
155,what is the place of birth of the performer of song Ruleta (Inna Song)?,Mangalia,"Mangalia, Romania",0.6666666666666666,0.5,1.0,0.6666666666666666
156,who is the father of the director of film A No-Hit No-Run Summer?,No answer,Yves Pelletier,0,0,0,0.0
157,"who is Henri Ii, Duke Of Nemours's paternal grandfather?",Jacques,"The user wants to know who Henri II, Duke of Nemours's paternal grandfather is, based",0,0,0,0.0
158,who is Gisela Of Hungary's father-in-law?,Géza,"Geza, grand prince of the hungarians",0,0,0,0.0
159,who is the paternal grandmother of King Kang Of Zhou?,Yi Jiang,No answer,0,0,0,0.0
160,"what is the date of death of Maria Isabel De Alcântara, Countess Of Iguaçu's mother?",No answer,No answer.,1.0,1.0,1.0,1.0
161,who is the spouse of the director of film Rodney Steps In?,Ivy Duke,Ivy Duke or Dorothy Batley.,0.5714285714285715,0.4,1.0,0.5714285714285715
162,"when did Frances Vane, Marchioness Of Londonderry's father die?",1 August 1813,1813,0.5,1.0,0.3333333333333333,0.5
163,"which film has the director who is older than the other, Season Of Strangers or The Yellow Teddy Bears? ?",No answer,"Season Of Strangers

(Season Of Strangers was directed by Maya Deren, born 191",0,0,0,0.0
164,were Jake Eisenhart and Michael T. Ullman of the same nationality?,yes,Yes,1.0,1.0,1.0,1.0
165,"who was born first, Antoine Casavant or Abdul Ali Lalu?",Antoine Casavant,Antoine Casavant,1.0,1.0,1.0,1.0
166,where did Rameshwari Nehru's husband graduate from?,Oxford,Oxford,1.0,1.0,1.0,1.0
167,"who is the paternal grandfather of Sir John Hamilton-Dalrymple, 5Th Baronet?","Sir Hew Dalrymple, 2nd Baronet","Sir Hew Dalrymple, 3rd Baronet",0.8000000000000002,0.8,0.8,0.8000000000000002
168,"which film has the director who was born earlier, Khud-Daar or Murderer In The Fog?",No answer,"To determine which film's director was born earlier, I need to find the directors and their birth years",0,0,0,0.0
169,who is the spouse of the director of film Soldier (1998 American Film)?,No answer,"The user is asking for the spouse of the director of the film ""Soldier"" (1998",0,0,0,0.0
170,"where did Catherine Of Taranto, Countess Of Copertino's mother die?",Lecce,Lecce,1.0,1.0,1.0,1.0
171,which award the director of film Lady Magdalene'S got?,Prometheus Award,"""best cutting edge film"" at the 2008 san diego film festival, ""audience",0,0,0,0.0
172,what nationality is Princess Charlotte Of Saxe-Meiningen's husband?,Duchy of Saxe-Gotha-Altenburg,No answer,0,0,0,0.0
173,"which film has the director who was born first, The Longshots or Station For Two?",No answer,Station For Two,0,0,0,0.0
174,what is the place of birth of Aleksey Greig's father?,Inverkeithing,"inverkeithing, fife, scotland",0.5,0.3333333333333333,1.0,0.5
175,when did Thomas Of Galloway (Bastard)'s father die?,1234,1234,1.0,1.0,1.0,1.0
176,"when did Robert Bertie, 3Rd Earl Of Lindsey's father die?",25 July 1666,1701,0,0,0,0.0
177,"which film has the director born later, The Wind'S Fierce or Special Delivery (1927 Film)?",No answer,"The user wants to know which film has the director born later: ""The Wind's Fierce",0,0,0,0.0
178,why did the director of film Port Of Seven Seas die?,No answer,No answer,1.0,1.0,1.0,1.0
179,what is the place of birth of Abdulaziz Nasser Al Shamsi's wife?,No answer,The user wants to know the place of birth of Abdulaziz Nasser Al Shamsi's wife,0,0,0,0.0
180,what is the place of birth of Frank Wartenberg's wife?,No answer,No answer,1.0,1.0,1.0,1.0
181,where was the director of film Edges Of The Lord born?,No answer,"The user wants to know where the director of the film ""Edges Of The Lord"" was born.

",0,0,0,0.0
182,where was the father of Teobaldo Ii Ordelaffi born?,No answer,"capacho viejo, tachira",0,0,0,0.0
183,where was the husband of Maude Smith born?,No answer,No answer,1.0,1.0,1.0,1.0
184,"which film was released earlier, Forbidden Daughters or The Third Kiss?",No answer,"The user wants to know which film was released earlier: ""Forbidden Daughters"" or ""The Third",0,0,0,0.0
185,does Leslie Pietrzyk have the same nationality as Marianne Wiggins?,yes,No answer,0,0,0,0.0
186,"who was born first, Bogdan Țăruș or Robert Wulnikowski?",No answer,"Robert Wulnikowski was born first.

Bogdan Țăruș was born",0,0,0,0.0
187,"which film has the director who died first, Folgore Division or Sandflow?",No answer,"The user is asking which film has the director who died first: ""Folgore Division""",0,0,0,0.0
188,"which film has the director born later, From Corleone To Brooklyn or Durango Valley Raiders?",No answer,From Corleone To Brooklyn,0,0,0,0.0
189,are both Howard Lake (British Columbia) and North Buck Lake (Alberta) located in the same country?,yes,Yes,1.0,1.0,1.0,1.0
190,where was the place of death of the composer of song Gretchen Am Spinnrade?,Vienna,"The composer of ""Gretchen am Spinnrade"" is Franz Schubert. According to the",0,0,0,0.0
191,"who was born later, Hugh Evelyn Wortham or Johnny Ekström?",Johnny Ekström,No answer.,0,0,0,0.0
192,"are both mountains, Yana Urqu (Q'Umirqucha) and Puka Rumi, located in the same country?",yes,"The user wants to know if both mountains, Yana Urqu (Q'Umirqucha)",0,0,0,0.0
193,what nationality is Elizabeth Of Rhuddlan's father?,England,English.,0,0,0,0.0
194,"what is the cause of death of director of film I Will, I Will... For Now?",No answer,No answer,1.0,1.0,1.0,1.0
195,"who is Maurice De Berkeley, 4Th Baron Berkeley's maternal grandfather?","Roger Mortimer, 1st Earl of March",No answer,0,0,0,0.0
196,"who died first, Albertus Seba or Ali Dinar?",No answer,"Albertus Seba died first. Albertus Seba died on 2 May 1736,",0,0,0,0.0
197,"who is the maternal grandfather of Marie Louise, Duchess Of Parma?",No answer,"The user wants to know the maternal grandfather of Marie Louise, Duchess of Parma. Let me look through",0,0,0,0.0
198,"which film was released earlier, Prince Of Arcadia or Italia-Germania 4-3?",No answer,Prince Of Arcadia,0,0,0,0.0
199,where was the director of film Love At First Sight (1985 Film) born?,No answer,No answer,1.0,1.0,1.0,1.0
200,where did the director of film Nanon (1938 Film) die?,No answer,No answer,1.0,1.0,1.0,1.0
,,,,0.4516368837131221,0.44324578199578196,0.5097857142857143,0.45335518136833924
