index,question,gold,response,f1,precision,recall,rl
133,"which magazine was established first, Women'S Suffrage Journal or Mostar (Magazine)?",Women'S Suffrage Journal,Women's Suffrage Journal,1.0,1.0,1.0,1.0
134,what is the place of birth of Carrie Watson Fleming's husband?,"Fairmont, West Virginia","Fairmont, West Virginia",1.0,1.0,1.0,1.0
135,"which film has the director who died earlier, Mayor Muthanna or The Market Of Souls?",The Market Of Souls,The Market Of Souls,1.0,1.0,1.0,1.0
136,"do both films, The Glass Castle (1950 Film) and The Ferret (Film), have the directors who are from the same country?",yes,Yes,1.0,1.0,1.0,1.0
137,where was the father of Muhammad Al-Nasir born?,Morocco,Answer: Not provided in the passages.,0,0,0,0.0
138,where was the place of death of Enheduanna's father?,Akkadian empire,the Gate of Enlil,0,0,0,0.0
139,"which film whose director was born first, Solemn Promise or Tarzan The Magnificent?",Tarzan The Magnificent,Tarzan The Magnificent,1.0,1.0,1.0,1.0
140,"which film has the director who was born later, The Man Is Armed or Wolf Warrior?",Wolf Warrior,Wolf Warrior,1.0,1.0,1.0,1.0
141,who is the paternal grandfather of Trịnh Doanh?,Trịnh Bính,Trịnh Cương,0.5,0.5,0.5,0.5
142,where was the director of film Hellcats Of The Navy born?,Gura Humorului,Russia,0,0,0,0.0
143,where was the performer of song Feelin' Myself (Nipsey Hussle Song) born?,Crenshaw,South Central Los Angeles,0,0,0,0.0
144,"which film whose director is younger, Winter Sleepers or Poveri Milionari?",Winter Sleepers,Winter Sleepers,1.0,1.0,1.0,1.0
145,who is the paternal grandfather of Bruno Ii Von Berg?,Adolf II of Berg,Kızıl Buğa or Basuk,0,0,0,0.0
146,are The Other Half (2016 Film) and Spy Kids 2: The Island Of Lost Dreams from the same country?,no,no,1.0,1.0,1.0,1.0
147,where was the director of film 00 Schneider – Jagd Auf Nihil Baxter born?,Mülheim an der Ruhr,germany,0,0,0,0.0
148,"which film came out first, Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato or The Bag Man?",Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato,Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi D,0.888888888888889,0.9230769230769231,0.8571428571428571,0.888888888888889
149,"are the movies The Hatton Garden Job and Carry On Cleo, from the same country?",yes,Yes,1.0,1.0,1.0,1.0
150,who is the paternal grandfather of Dibyasambandh?,Mongkut,King Chulalongkorn,0,0,0,0.0
151,"who is Charles Willoughby, 10Th Baron Willoughby Of Parham's paternal grandmother?",Lady Frances Manners,Katherine Skipwith,0,0,0,0.0
152,"where does the director of film L'Arbre, Le Maire Et La Médiathèque work at?",Cahiers du cinéma,"Paris, France",0,0,0,0.0
153,where was the director of film Eisenstein In Guanajuato born?,"Newport, Wales",England,0,0,0,0.0
154,what is the place of birth of Sextus Barbour's father?,"Gordonsville, Virginia","Orange County, Virginia",0.4,0.3333333333333333,0.5,0.4
155,what is the place of birth of the performer of song Ruleta (Inna Song)?,Mangalia,"mangalia, romania",0.6666666666666666,0.5,1.0,0.6666666666666666
156,who is the father of the director of film A No-Hit No-Run Summer?,Félix Leclerc,Marcel Beaulieu,0,0,0,0.0
157,"who is Henri Ii, Duke Of Nemours's paternal grandfather?",Jacques,"Philippe II, Duke of Savoy.",0,0,0,0.0
158,who is Gisela Of Hungary's father-in-law?,Géza,Geza,0,0,0,0.0
159,who is the paternal grandmother of King Kang Of Zhou?,Yi Jiang,Queen Yi Jiang,0.8,0.6666666666666666,1.0,0.8
160,"what is the date of death of Maria Isabel De Alcântara, Countess Of Iguaçu's mother?","November 3, 1867",5 September 1896,0,0,0,0.0
161,who is the spouse of the director of film Rodney Steps In?,Ivy Duke,Dorothy Batley,0,0,0,0.0
162,"when did Frances Vane, Marchioness Of Londonderry's father die?",1 August 1813,1813,0.5,1.0,0.3333333333333333,0.5
163,"which film has the director who is older than the other, Season Of Strangers or The Yellow Teddy Bears? ?",Season Of Strangers,Season Of Strangers,1.0,1.0,1.0,1.0
164,were Jake Eisenhart and Michael T. Ullman of the same nationality?,yes,Yes,1.0,1.0,1.0,1.0
165,"who was born first, Antoine Casavant or Abdul Ali Lalu?",Antoine Casavant,Antoine Casavant,1.0,1.0,1.0,1.0
166,where did Rameshwari Nehru's husband graduate from?,Oxford,Oxford University,0.6666666666666666,0.5,1.0,0.6666666666666666
167,"who is the paternal grandfather of Sir John Hamilton-Dalrymple, 5Th Baronet?","Sir Hew Dalrymple, 2nd Baronet","Sir Hew Dalrymple, 3rd Baronet",0.8000000000000002,0.8,0.8,0.8000000000000002
168,"which film has the director who was born earlier, Khud-Daar or Murderer In The Fog?",Murderer In The Fog,Murderer In The Fog,1.0,1.0,1.0,1.0
169,who is the spouse of the director of film Soldier (1998 American Film)?,Milla,,0,0,0,0
170,"where did Catherine Of Taranto, Countess Of Copertino's mother die?",Lecce,Lecce,1.0,1.0,1.0,1.0
171,which award the director of film Lady Magdalene'S got?,Prometheus Award,"""special jury prize for libertarian ideals"" at the 2011 anthem film festival / freedomfest",0,0,0,0.0
172,what nationality is Princess Charlotte Of Saxe-Meiningen's husband?,Duchy of Saxe-Gotha-Altenburg,German,0,0,0,0.0
173,"which film has the director who was born first, The Longshots or Station For Two?",Station For Two,The Longshots,0,0,0,0.0
174,what is the place of birth of Aleksey Greig's father?,Inverkeithing,"Inverkeithing, Fife, Scotland",0.5,0.3333333333333333,1.0,0.5
175,when did Thomas Of Galloway (Bastard)'s father die?,1234,1234,1.0,1.0,1.0,1.0
176,"when did Robert Bertie, 3Rd Earl Of Lindsey's father die?",25 July 1666,1666,0.5,1.0,0.3333333333333333,0.5
177,"which film has the director born later, The Wind'S Fierce or Special Delivery (1927 Film)?",The Wind'S Fierce,The Wind's Fierce,1.0,1.0,1.0,1.0
178,why did the director of film Port Of Seven Seas die?,drowning,"The passages do not mention the director of ""Port of Seven Seas"" dying.",0,0,0,0.0
179,what is the place of birth of Abdulaziz Nasser Al Shamsi's wife?,Abu Dhabi,"Based on the given passages, there is no information about the place of birth of Abdulaziz N",0,0,0,0.0
180,what is the place of birth of Frank Wartenberg's wife?,Prenzlau,Born in Bulzig.,0,0,0,0.0
181,where was the director of film Edges Of The Lord born?,Poznań,"Gura Humorului, Austro-Hungarian Empire (now Romania).",0,0,0,0.0
182,where was the father of Teobaldo Ii Ordelaffi born?,Italy,Forlì,0,0,0,0.0
183,where was the husband of Maude Smith born?,"Toronto, Ontario",Canada,0,0,0,0.0
184,"which film was released earlier, Forbidden Daughters or The Third Kiss?",Forbidden Daughters,The Third Kiss,0,0,0,0.0
185,does Leslie Pietrzyk have the same nationality as Marianne Wiggins?,yes,The passages do not mention Leslie Pietrzyk.,0,0,0,0.0
186,"who was born first, Bogdan Țăruș or Robert Wulnikowski?",Bogdan Țăruș,Bogdan Țăruș,1.0,1.0,1.0,1.0
187,"which film has the director who died first, Folgore Division or Sandflow?",Sandflow,"The given passages do not contain information about the films ""Folgore Division"" or ""Sandflow",0.15384615384615385,0.08333333333333333,1.0,0.13333333333333333
188,"which film has the director born later, From Corleone To Brooklyn or Durango Valley Raiders?",From Corleone To Brooklyn,Durango Valley Raiders,0,0,0,0.0
189,are both Howard Lake (British Columbia) and North Buck Lake (Alberta) located in the same country?,yes,yes,1.0,1.0,1.0,1.0
190,where was the place of death of the composer of song Gretchen Am Spinnrade?,Vienna,"Pacific Palisades, California",0,0,0,0.0
191,"who was born later, Hugh Evelyn Wortham or Johnny Ekström?",Johnny Ekström,The passages provided do not contain information about Hugh Evelyn Wortham or Johnny Ekström.,0.2666666666666667,0.15384615384615385,1.0,0.33333333333333337
192,"are both mountains, Yana Urqu (Q'Umirqucha) and Puka Rumi, located in the same country?",yes,Yes,1.0,1.0,1.0,1.0
193,what nationality is Elizabeth Of Rhuddlan's father?,England,Welsh,0,0,0,0.0
194,"what is the cause of death of director of film I Will, I Will... For Now?",Parkinson,The cause of death was not disclosed.,0,0,0,0.0
195,"who is Maurice De Berkeley, 4Th Baron Berkeley's maternal grandfather?","Roger Mortimer, 1st Earl of March","Roger Mortimer, 1st Earl of March",1.0,1.0,1.0,1.0
196,"who died first, Albertus Seba or Ali Dinar?",Albertus Seba,Albertus Seba,1.0,1.0,1.0,1.0
197,"who is the maternal grandfather of Marie Louise, Duchess Of Parma?",Ferdinand I of the Two Sicilies,Archduke Francis of Austria,0.22222222222222224,0.25,0.2,0.2
198,"which film was released earlier, Prince Of Arcadia or Italia-Germania 4-3?",Prince Of Arcadia,Prince Of Arcadia,1.0,1.0,1.0,1.0
199,where was the director of film Love At First Sight (1985 Film) born?,Milan,Rome,0,0,0,0.0
200,where did the director of film Nanon (1938 Film) die?,Köln,"Berlin, Germany.",0,0,0,0.0
,,,,0.4066898656898657,0.4043012820512821,0.4342023809523809,0.41283080808080813
