index,question,answers,response,f1,precision,recall,rl
77,which country Nizar Al-Mustafa's father is from?,Fatimid caliphate,yes,0,0,0,0.0
78,where was the wife of Lou Breslow born?,"Dayton, Ohio",yes,0,0,0,0.0
79,who is the spouse of the director of film Ann Carver'S Profession?,Ona Munson,yes,0,0,0,0.0
80,"which film came out earlier, The Drover'S Sweetheart or Pigsty (Film)?",The Drover'S Sweetheart,yes,0,0,0,0.0
81,what is the place of birth of the director of film Bhagirathi (Film)?,Tumkur,yes,0,0,0,0.0
82,"which film came out earlier, Closely Watched Trains or Det Sande Ansigt?",Det Sande Ansigt,yes,0,0,0,0.0
83,"which film has the director who died earlier, Il Gaucho or Bomgay?",Bomgay,yes,0,0,0,0.0
84,where was the place of death of Maria (Wife Of Boris I Of Bulgaria)'s husband?,Preslav,yes,0,0,0,0.0
85,"which film came out first, The Pyrammmid or Revolt Of The Praetorians?",Revolt Of The Praetorians,yes,0,0,0,0.0
86,are both directors of films La Morte Vivante and Stranger On Horseback from the same country?,yes,yes,1.0,1.0,1.0,1.0
87,what is the cause of death of Constantia Eriksdotter's father?,poisoning,yes,0,0,0,0.0
88,what nationality is the director of film Postmortem (1998 Film)?,America,yes,0,0,0,0.0
89,which country Keōpūolani's husband is from?,Kingdom of Hawaii,yes,0,0,0,0.0
90,"which film came out earlier, X-Paroni or Mi Novia Está De Madre?",X-Paroni,yes,0,0,0,0.0
91,"which film was released earlier, August Underground'S Penance or Vasantha Raagam?",Vasantha Raagam,yes,0,0,0,0.0
92,who is the father-in-law of Hong Ra-Hee?,Lee Byung-chul,yes,0,0,0,0.0
93,who is Isabella Of Bourbon's paternal grandfather?,"John I, Duke of Bourbon",yes,0,0,0,0.0
94,what is the date of death of Duleep Singh's father?,27 June 1839,yes,0,0,0,0.0
95,what is the place of birth of the director of film Gunsmoke (Film)?,Gura Humorului,yes,0,0,0,0.0
96,"who is the spouse of the performer of song Et Moi, Et Moi, Et Moi?",Françoise Hardy,yes,0,0,0,0.0
97,"who lived longer, Charles Wheatstone or Jean-Claude Lauzon?",Charles Wheatstone,yes,0,0,0,0.0
98,where was the place of death of Thomas E. Noell's father?,Washington,yes,0,0,0,0.0
99,"which film has the director died first, Our Agent Tiger or London Melody?",London Melody,yes,0,0,0,0.0
100,who is the paternal grandfather of Diego Fernández De Oviedo?,Flaín Muñoz,yes,0,0,0,0.0
101,who is the child of the director of film The Trouble With Cali?,Mira Sorvino,yes,0,0,0,0.0
102,are Ding Yaping and Johann Christian Gustav Lucae of the same nationality?,yes,yes,1.0,1.0,1.0,1.0
103,"which country Dorothea Of Denmark, Duchess Of Mecklenburg's father is from?",Norway,yes,0,0,0,0.0
104,what is the cause of death of Heonjong Of Goryeo's father?,illness,yes,0,0,0,0.0
105,where did Mary Of Woodstock's mother die?,Harby,yes,0,0,0,0.0
106,which award the director of film Tiramisu (2002 Film) earned?,Hong Kong Film Award for Best Director,yes,0,0,0,0.0
107,what is the date of death of the director of film Nallavan Vazhvan?,3 September 1992,yes,0,0,0,0.0
108,"who died first, Frederick Cleveland Morgan or Nathaniel Mclenaghan?",Nathaniel Mclenaghan,yes,0,0,0,0.0
109,where did the director of film Balls Out (2014 Film) graduate from?,Tisch,yes,0,0,0,0.0
110,"which film whose director is younger, Cuchillos De Fuego or A Woman Has Killed?",Cuchillos De Fuego,yes,0,0,0,0.0
111,"which film was released earlier, Moment Of Danger or The Ballad Of Josie?",Moment Of Danger,yes,0,0,0,0.0
112,"which magazine was established first, Rock Street Journal or De As?",De As,yes,0,0,0,0.0
113,"which film has the director who died first, The Piper'S Price or The Blonde From Singapore?",The Piper'S Price,yes,0,0,0,0.0
114,are H. H. Hunnewell and Bob Flanigan (Singer) of the same nationality?,yes,yes,1.0,1.0,1.0,1.0
115,"when was Antoine Philippe, Duke Of Montpensier's mother born?",13 March 1753,yes,0,0,0,0.0
116,"which film has the director who died later, True To The Navy or No Trees In The Street?",No Trees In The Street,yes,0,0,0,0.0
117,what is the place of birth of the director of film Ninamaninja Kalpadukal?,Methala,yes,0,0,0,0.0
118,"which film came out earlier, Alkohol or Night Of Dark Shadows?",Alkohol,yes,0,0,0,0.0
119,"which film whose director is younger, Many Tanks Mr. Atkins or Do Musafir?",Do Musafir,yes,0,0,0,0.0
120,are Revolt In The Big House and The Fugitive (1914 Film) from the same country?,no,yes,0,0,0,0.0
121,where was the composer of film Consenting Adults (1992 Film) born?,New York,yes,0,0,0,0.0
122,"which film has the director who died earlier, Tiger In The Smoke or Contragolpe?",Contragolpe,yes,0,0,0,0.0
123,where was the place of death of the director of film Jail Yatra?,Mumbai,yes,0,0,0,0.0
124,"which film came out first, F The Prom or The Comedians Of Comedy?",The Comedians Of Comedy,yes,0,0,0,0.0
125,"which film has the director who was born first, Tombstone Rashomon or Waiting For The Clouds?",Tombstone Rashomon,yes,0,0,0,0.0
126,"which film has the director who was born earlier, Dhuen Ki Lakeer or Bomma Borusa?",Dhuen Ki Lakeer,yes,0,0,0,0.0
127,"which film has the director who was born first, Perdón, Viejita or Smokey And The Bandit?","Perdón, Viejita",yes,0,0,0,0.0
128,where did the director of film American Gothic (2007 Film) graduate from?,University of Wisconsin,yes,0,0,0,0.0
129,was Dudley Russell or Juan René Serrano born first?,Dudley Russell,yes,0,0,0,0.0
130,"who was born first, Vytautas Straižys or Mirjam Polkunen?",Mirjam Polkunen,yes,0,0,0,0.0
131,where did Grand Duchess Elena Vladimirovna Of Russia's father die?,Saint Petersburg,yes,0,0,0,0.0
132,where was the director of film The Dinner (2013 Film) born?,Eindhoven,yes,0,0,0,0.0
133,"which magazine was established first, Women'S Suffrage Journal or Mostar (Magazine)?",Women'S Suffrage Journal,yes,0,0,0,0.0
134,what is the place of birth of Carrie Watson Fleming's husband?,"Fairmont, West Virginia",yes,0,0,0,0.0
135,"which film has the director who died earlier, Mayor Muthanna or The Market Of Souls?",The Market Of Souls,yes,0,0,0,0.0
136,"do both films, The Glass Castle (1950 Film) and The Ferret (Film), have the directors who are from the same country?",yes,yes,1.0,1.0,1.0,1.0
137,where was the father of Muhammad Al-Nasir born?,Morocco,yes,0,0,0,0.0
138,where was the place of death of Enheduanna's father?,Akkadian empire,yes,0,0,0,0.0
139,"which film whose director was born first, Solemn Promise or Tarzan The Magnificent?",Tarzan The Magnificent,yes,0,0,0,0.0
140,"which film has the director who was born later, The Man Is Armed or Wolf Warrior?",Wolf Warrior,yes,0,0,0,0.0
141,who is the paternal grandfather of Trịnh Doanh?,Trịnh Bính,yes,0,0,0,0.0
142,where was the director of film Hellcats Of The Navy born?,Gura Humorului,yes,0,0,0,0.0
143,where was the performer of song Feelin' Myself (Nipsey Hussle Song) born?,Crenshaw,yes,0,0,0,0.0
144,"which film whose director is younger, Winter Sleepers or Poveri Milionari?",Winter Sleepers,yes,0,0,0,0.0
145,who is the paternal grandfather of Bruno Ii Von Berg?,Adolf II of Berg,yes,0,0,0,0.0
146,are The Other Half (2016 Film) and Spy Kids 2: The Island Of Lost Dreams from the same country?,no,yes,0,0,0,0.0
147,where was the director of film 00 Schneider – Jagd Auf Nihil Baxter born?,Mülheim an der Ruhr,yes,0,0,0,0.0
148,"which film came out first, Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato or The Bag Man?",Una Prostituta Al Servizio Del Pubblico E In Regola Con Le Leggi Dello Stato,yes,0,0,0,0.0
149,"are the movies The Hatton Garden Job and Carry On Cleo, from the same country?",yes,yes,1.0,1.0,1.0,1.0
150,who is the paternal grandfather of Dibyasambandh?,Mongkut,yes,0,0,0,0.0
151,"who is Charles Willoughby, 10Th Baron Willoughby Of Parham's paternal grandmother?",Lady Frances Manners,yes,0,0,0,0.0
152,"where does the director of film L'Arbre, Le Maire Et La Médiathèque work at?",Cahiers du cinéma,yes,0,0,0,0.0
153,where was the director of film Eisenstein In Guanajuato born?,"Newport, Wales",yes,0,0,0,0.0
154,what is the place of birth of Sextus Barbour's father?,"Gordonsville, Virginia",yes,0,0,0,0.0
155,what is the place of birth of the performer of song Ruleta (Inna Song)?,Mangalia,yes,0,0,0,0.0
156,who is the father of the director of film A No-Hit No-Run Summer?,Félix Leclerc,yes,0,0,0,0.0
157,"who is Henri Ii, Duke Of Nemours's paternal grandfather?",Jacques,yes,0,0,0,0.0
158,who is Gisela Of Hungary's father-in-law?,Géza,yes,0,0,0,0.0
159,who is the paternal grandmother of King Kang Of Zhou?,Yi Jiang,yes,0,0,0,0.0
160,"what is the date of death of Maria Isabel De Alcântara, Countess Of Iguaçu's mother?","November 3, 1867",yes,0,0,0,0.0
161,who is the spouse of the director of film Rodney Steps In?,Ivy Duke,yes,0,0,0,0.0
162,"when did Frances Vane, Marchioness Of Londonderry's father die?",1 August 1813,yes,0,0,0,0.0
163,"which film has the director who is older than the other, Season Of Strangers or The Yellow Teddy Bears? ?",Season Of Strangers,yes,0,0,0,0.0
164,were Jake Eisenhart and Michael T. Ullman of the same nationality?,yes,yes,1.0,1.0,1.0,1.0
165,"who was born first, Antoine Casavant or Abdul Ali Lalu?",Antoine Casavant,yes,0,0,0,0.0
166,where did Rameshwari Nehru's husband graduate from?,Oxford,yes,0,0,0,0.0
167,"who is the paternal grandfather of Sir John Hamilton-Dalrymple, 5Th Baronet?","Sir Hew Dalrymple, 2nd Baronet",yes,0,0,0,0.0
168,"which film has the director who was born earlier, Khud-Daar or Murderer In The Fog?",Murderer In The Fog,yes,0,0,0,0.0
169,who is the spouse of the director of film Soldier (1998 American Film)?,Milla,yes,0,0,0,0.0
170,"where did Catherine Of Taranto, Countess Of Copertino's mother die?",Lecce,yes,0,0,0,0.0
171,which award the director of film Lady Magdalene'S got?,Prometheus Award,yes,0,0,0,0.0
172,what nationality is Princess Charlotte Of Saxe-Meiningen's husband?,Duchy of Saxe-Gotha-Altenburg,yes,0,0,0,0.0
173,"which film has the director who was born first, The Longshots or Station For Two?",Station For Two,yes,0,0,0,0.0
174,what is the place of birth of Aleksey Greig's father?,Inverkeithing,yes,0,0,0,0.0
175,when did Thomas Of Galloway (Bastard)'s father die?,1234,yes,0,0,0,0.0
176,"when did Robert Bertie, 3Rd Earl Of Lindsey's father die?",25 July 1666,yes,0,0,0,0.0
177,"which film has the director born later, The Wind'S Fierce or Special Delivery (1927 Film)?",The Wind'S Fierce,yes,0,0,0,0.0
178,why did the director of film Port Of Seven Seas die?,drowning,yes,0,0,0,0.0
179,what is the place of birth of Abdulaziz Nasser Al Shamsi's wife?,Abu Dhabi,yes,0,0,0,0.0
180,what is the place of birth of Frank Wartenberg's wife?,Prenzlau,yes,0,0,0,0.0
181,where was the director of film Edges Of The Lord born?,Poznań,yes,0,0,0,0.0
182,where was the father of Teobaldo Ii Ordelaffi born?,Italy,yes,0,0,0,0.0
183,where was the husband of Maude Smith born?,"Toronto, Ontario",yes,0,0,0,0.0
184,"which film was released earlier, Forbidden Daughters or The Third Kiss?",Forbidden Daughters,yes,0,0,0,0.0
185,does Leslie Pietrzyk have the same nationality as Marianne Wiggins?,yes,yes,1.0,1.0,1.0,1.0
186,"who was born first, Bogdan Țăruș or Robert Wulnikowski?",Bogdan Țăruș,yes,0,0,0,0.0
187,"which film has the director who died first, Folgore Division or Sandflow?",Sandflow,yes,0,0,0,0.0
188,"which film has the director born later, From Corleone To Brooklyn or Durango Valley Raiders?",From Corleone To Brooklyn,yes,0,0,0,0.0
189,are both Howard Lake (British Columbia) and North Buck Lake (Alberta) located in the same country?,yes,yes,1.0,1.0,1.0,1.0
190,where was the place of death of the composer of song Gretchen Am Spinnrade?,Vienna,yes,0,0,0,0.0
191,"who was born later, Hugh Evelyn Wortham or Johnny Ekström?",Johnny Ekström,yes,0,0,0,0.0
192,"are both mountains, Yana Urqu (Q'Umirqucha) and Puka Rumi, located in the same country?",yes,yes,1.0,1.0,1.0,1.0
193,what nationality is Elizabeth Of Rhuddlan's father?,England,yes,0,0,0,0.0
194,"what is the cause of death of director of film I Will, I Will... For Now?",Parkinson,yes,0,0,0,0.0
195,"who is Maurice De Berkeley, 4Th Baron Berkeley's maternal grandfather?","Roger Mortimer, 1st Earl of March",yes,0,0,0,0.0
196,"who died first, Albertus Seba or Ali Dinar?",Albertus Seba,yes,0,0,0,0.0
197,"who is the maternal grandfather of Marie Louise, Duchess Of Parma?",Ferdinand I of the Two Sicilies,yes,0,0,0,0.0
198,"which film was released earlier, Prince Of Arcadia or Italia-Germania 4-3?",Prince Of Arcadia,yes,0,0,0,0.0
199,where was the director of film Love At First Sight (1985 Film) born?,Milan,yes,0,0,0,0.0
200,where did the director of film Nanon (1938 Film) die?,Köln,yes,0,0,0,0.0
,,,,0.07,0.07,0.07,0.07
